testName,graphID,strength,criteria,noOfNodes,noOfEdges,entitySetGenerationTime,noOfEntities,testSuiteSize,testSuiteGenerationTime,totalPathLength,averagePathLength
Test-19-1,0,3,t*_cover,16,19,0.0010728836,827,11,6.3022223314,183.333333333,16.6666666666
Test-19-1,3,3,t*_cover,16,31,0.0037722588,1847,23.6666666667,15.067128102,495.333333333,20.9295774647
Test-19-1,4,3,t*_cover,46,73,0.4151690006,89218,62.6666666667,49.1774101257,5373.33333333,85.744680851
Test-19-1,5,3,t*_cover,29,46,0.0158560276,21246,57.3333333333,32.5812357267,3494,60.9418604652
Test-19-1,6,3,t*_cover,14,23,0.0055949688,905,18.6666666667,12.0606717269,331.666666667,17.7678571428
Test-21-1,0,3,t*_cover,25,42,0.0059270859,5422,21,13.8296893438,681.666666667,32.4603174603
Test-21-1,2,3,t*_cover,5,6,0.0009131432,31,3.3333333333,1.5532084306,17.3333333333,5.2
Test-21-1,3,3,t*_cover,40,58,0.0179791451,22744,27,19.9635373751,1369.66666667,50.7283950619
Test-21-1,4,3,t*_cover,15,24,0.0081689358,1028,17,9.1334110101,300,17.6470588235
Test-23-1,0,3,t*_cover,22,37,0.0045330524,4351,19.3333333333,11.9778386752,584.333333333,30.2241379311
Test-23-1,2,3,t*_cover,4,5,0.0003049374,14,3.6666666667,1.4374560515,14.6666666667,4
Test-23-1,4,3,t*_cover,14,23,0.001183033,905,16,8.2385530472,299.666666667,18.7291666667
Test-24-1,0,3,t*_cover,56,101,0.1190910339,125841,60.6666666667,52.1612133185,4971.66666667,81.9505494506
Test-24-1,1,3,t*_cover,34,51,0.0318510532,34930,24.3333333333,15.2891516686,1436.66666667,59.0410958906
Test-24-1,3,3,t*_cover,10,10,0.0009617805,159,3.6666666667,3.5915629864,40.6666666667,11.0909090909
Test-24-1,5,3,t*_cover,57,106,0.0891079903,87645,54.6666666667,43.8710273902,3759,68.7621951219
Test-24-1,6,3,t*_cover,15,24,0.0012600422,1028,18,8.6924494108,334.333333333,18.5740740741
Test-24-2,0,3,t*_cover,16,20,0.0015587807,797,8.3333333333,4.8125866254,139,16.68
Test-24-2,1,3,t*_cover,42,70,0.0663158894,67357,47.3333333333,31.9942789872,3855.66666667,81.457746479
Test-24-2,3,3,t*_cover,51,105,0.2092490196,122725,48.6666666667,42.0078686078,4645.33333333,95.4520547944
Test-24-2,4,3,t*_cover,11,18,0.0006351471,413,12,6.1162419319,158.666666667,13.2222222223
Test-24-3,1,3,t*_cover,56,106,0.1993451118,140981,65.3333333333,58.6817603906,5517.66666667,84.4540816327
Test-24-3,2,3,t*_cover,39,61,0.0395328999,53528,25,18.1701653004,1889.66666667,75.5866666668
Test-24-3,3,3,t*_cover,10,10,0.0004148483,158,3.6666666667,3.7223090331,40.6666666667,11.0909090909
Test-24-3,5,3,t*_cover,33,47,0.0088751316,9992,30.6666666667,20.3605260054,1252.66666667,40.847826087
